I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
100.61,90.85,110.37,144.53,115.25,100.61,100.61,7.89,12.77,7.89,27.41,37.17
61.26,51.5,71.02,105.18,75.9,61.26,56.38,-36.34,-26.58,-36.34,-26.58,-7.06
-14.83,-9.95,14.45,33.97,-5.07,-0.19,-19.71,-117.31,-107.55,-107.55,-107.55,-83.15
-79.25,-84.13,-59.73,-25.57,-64.61,-74.37,-84.13,-181.73,-167.09,-167.09,-162.21,-147.57
-101.9,-106.78,-82.38,-48.22,-87.26,-97.02,-101.9,-199.5,-194.62,-199.5,-189.74,-160.46
-60.69,-75.33,-60.69,-21.65,-46.05,-70.45,-75.33,-172.93,-168.05,-177.81,-138.77,-138.77
-6.78,-31.18,-1.9,66.42,17.62,-16.54,2.98,-99.5,-99.5,-104.38,-79.98,-65.34
71.53,37.37,56.89,130.09,95.93,47.13,76.41,-26.07,-30.95,-45.59,-26.07,-1.67
107.86,68.82,83.46,156.66,132.26,73.7,107.86,5.38,5.38,-14.14,20.02,29.78
75.45,51.05,75.45,138.89,99.85,60.81,85.21,-17.27,-12.39,-41.67,-7.51,2.25
15.91,-8.49,11.03,69.59,35.43,1.27,25.67,-76.81,-76.81,-91.45,-86.57,-62.17
-65.06,-84.58,-55.3,3.26,-40.66,-69.94,-50.42,-148.02,-138.26,-157.78,-157.78,-128.5
-104.41,-119.05,-89.77,-36.09,-84.89,-104.41,-99.53,-197.13,-182.49,-192.25,-206.89,-177.61
-85.63,-90.51,-66.11,-31.95,-70.99,-80.75,-85.63,-178.35,-163.71,-173.47,-188.11,-163.71
-30.85,-45.49,-16.21,37.47,-11.33,-30.85,-16.21,-118.69,-108.93,-118.69,-123.57,-99.17
56.94,32.54,47.18,100.86,76.46,37.42,56.94,-40.66,-35.78,-35.78,-45.54,-21.14
94.21,79.57,103.97,152.77,113.73,89.33,108.85,11.25,16.13,11.25,1.49,25.89
94.56,55.52,75.04,153.12,123.84,65.28,109.2,16.48,16.48,6.72,1.84,21.36
45.87,21.47,36.11,89.79,65.39,26.35,50.75,-37.09,-41.97,-51.73,-41.97,-32.21
-27.65,-47.17,-32.53,11.39,-13.01,-42.29,-27.65,-110.61,-105.73,-120.37,-120.37,-110.61
-76.34,-110.5,-100.74,-37.3,-56.82,-105.62,-81.22,-164.18,-159.3,-169.06,-178.82,-159.3
-95.51,-110.15,-85.75,-36.95,-75.99,-100.39,-85.75,-168.71,-154.07,-163.83,-183.35,-168.71
-68.0,-58.24,-14.32,14.96,-53.36,-38.72,-48.48,-126.56,-102.16,-107.04,-131.44,-121.68
14.91,10.03,44.19,88.11,34.43,24.67,34.43,-43.65,-19.25,-24.13,-48.53,-33.89
79.45,59.93,89.21,147.77,103.85,74.57,89.21,16.01,25.77,30.65,1.37,16.01
88.47,78.71,112.87,161.67,107.99,93.35,98.23,25.03,39.67,39.67,5.51,25.03
58.88,49.12,73.52,112.56,73.52,58.88,58.88,-9.44,-4.56,-4.56,-28.96,-4.56
-17.21,-17.21,12.07,41.35,-2.57,-2.57,-12.33,-75.77,-75.77,-75.77,-100.17,-70.89
-76.75,-81.63,-57.23,-23.07,-62.11,-71.87,-71.87,-135.31,-135.31,-125.55,-164.59,-135.31
-99.4,-99.4,-75.0,-50.6,-89.64,-89.64,-94.52,-157.96,-148.2,-153.08,-187.24,-153.08
-67.95,-67.95,-43.55,-19.15,-58.19,-58.19,-67.95,-131.39,-126.51,-121.63,-155.79,-126.51
0.6,10.36,34.76,44.52,5.48,20.12,0.6,-57.96,-48.2,-43.32,-82.36,-57.96
64.27,59.39,88.67,127.71,78.91,74.03,69.15,5.71,25.23,34.99,-13.81,15.47
